INSTITUICAO_ENSINO_ALUNO_2020,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,FASE_2021,TURMA_2021,INSTITUICAO_ENSINO_ALUNO_2021,SINALIZADOR_INGRESSANTE_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021,FASE_2022,TURMA_2022,ANO_INGRESSO_2022,BOLSISTA_2022,INDE_2022,CG_2022,CF_2022,CT_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,IPP_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,INDICADO_BOLSA_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022,NIVEL_IDEAL_2022
Escola Pública,ALUNO-11,8,0,0A,Sim,9.712504,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.00002,10,8.125,10,10,10.00001,10,1,A,Rede Decisão,Veterano,Topázio,8.99,9,10,6.3,8.8,7.7,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Sim,9.7,10,Nível 1 (4o ano),0,1,A,2020,Sim,8.46468653968254,40,5,1,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.00002,9.1984126984127,7.5,9.83333333333333,10,9.66666666666667,,3,7.08333333333333,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,,Não,Sim,9.50001,5,Fase 2 (5º e 6º ano)
Rede Decisão/União,ALUNO-12,14,3,3G,Não,5.83888733333333,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,6,5.625,6.66666666666666,5.62499999999999,5.27777,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-13,,,,,,,,,,,,,,,,,,0,T,Escola Pública,Ingressante,Quartzo,3.413,8,0,7.5,0.8,0,Não avaliado,Não avaliado,Não avaliado,Não avaliado,Não,6,5,Nível 1 (4o ano),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-14,11,2,2M,Não,6.434585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.00002,7.6,6.875,0,8.4375,7.916665,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-15,12,1,2D,Não,5.162502,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.50002,4,7.5,0,8.125,7.25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,P,2022,Não,6.9955042010582,489,129,9,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.50002,9.33862433862434,6.875,6.33333333333333,5.5,7.16666666666667,,3,4.79166666666667,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,6.72222,5,Fase 2 (5º e 6º ano)
Escola Pública,ALUNO-17,13,2,1G,Não,7.766252,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,6.8,7.5,10,6.5625,7.75,5,1,G,Escola Pública,Veterano,Ágata,6.14,9.5,4.2,7.5,2.6,8.4,Não avaliado,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Não,8.8,5,Nível 3 (7o e 8o ano),-2,1,G,2018,Não,6.72332593483709,580,142,6,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,6.64786967418546,7.5,5.5,4.33333333333333,6.66666666666667,,2,5.9375,Mantido na Fase atual,Promovido de Fase,,,Não,Não,7.5,5,Fase 3 (7º e 8º ano)
Escola Pública,ALUNO-18,14,3,3E,Não,7.20555766666666,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,7,7.5,6.5,7.08333333333333,7.94444666666666,5,4,F,Escola Pública,Veterano,Ágata,5.666,10,3.3,6.3,5.3,7.7,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Não,5.2,5,Nível 5 (1o EM),-1,4,H,2017,Não,5.84572195564893,746,68,7,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,6.28764005602241,8.125,5.22222222222222,3,4.83333333333333,7.83333333333333,4,7.8125,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sim,Não,7.2499975,5,Fase 6 (2º EM)
,ALUNO-19,,,,,,,,,,,,,,,,,,2,C,Escola Pública,Ingressante,Ágata,6.751,9,6.3,7.5,4.6,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.3,5,Nível 3 (7o e 8o ano),-1,2,Q,2021,Não,7.84314903641457,188,29,2,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.0546218487395,7.5,7.46666666666667,6.76666666666667,8.16666666666667,,3,6.66666666666667,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,,Não,Não,8.11111333333333,5,Fase 3 (7º e 8º ano)
,ALUNO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Z,2022,Não,8.6162437654809,28,3,1,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.55204216073781,7.5,8.46666666666667,8.76666666666667,8.16666666666667,,2,5.625,Promovido de Fase,Mantido na Fase atual,,,Não,Sim,8.5,10,ALFA  (2º e 3º ano)
,ALUNO-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,N,2022,Não,5.65238586034256,771,114,13,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,5.64908596837945,5,5.16666666666667,5,6.16666666666667,4.33333333333333,3,7.03125,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,Não,Não,6.22221666666667,2.5,Fase 6 (2º EM)
,ALUNO-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Z,2022,Não,8.09849631815045,116,32,7,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.00002,8.98205659075224,7.5,9.25,9.53333333333333,8.96666666666667,,2,4.6875,Promovido de Fase,Mantido na Fase atual,,,Não,Não,7.166665,10,ALFA  (2º e 3º ano)
,ALUNO-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,U,2022,Não,7.78265826912142,208,51,3,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.00002,7.7986963456071,7.5,9.25,9.5,9,,2,6.5625,Promovido de Fase,Promovido de Fase,,,Não,Não,8.333335,5,Fase 2 (5º e 6º ano)
,ALUNO-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,A,2022,Não,8.26975686419753,66,6,1,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.32098765432099,6.875,6.75,6.33333333333333,7.16666666666667,,3,6.45833333333333,Mantido na Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,,Sim,Sim,8.61112,10,Fase 2 (5º e 6º ano)
,ALUNO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Y,2022,Não,7.95176506926407,154,42,3,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8.34632034632035,7.5,9.1,9.13333333333333,9.06666666666667,,2,3.125,Promovido de Fase,Mantido na Fase atual,,,Não,Não,8.249995,10,ALFA  (2º e 3º ano)
,ALUNO-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,F,2022,Não,7.73802041093474,224,60,2,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,8.72134038800705,7.5,9.16666666666667,9.16666666666667,9.16666666666667,,2,5.9375,Promovido de Fase,Mantido na Fase atual,,,Não,Não,7.083335,5,Fase 1 (4º ano)
,ALUNO-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M,2022,Não,6.35009196536797,668,122,9,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,6.49350649350649,7.5,4.58333333333333,2.33333333333333,6.83333333333333,,3,5.625,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,7.11111,5,Fase 4 (9º ano)
Rede Decisão/União,ALUNO-28,13,2,3J,Sim,9.35472566666666,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,9.6,6.875,9,10,9.94445333333333,10,4,G,Rede Decisão,Ingressante,Topázio,9.079,8.3,9.2,7.5,8.8,9.4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,9.9,10,Nível 4 (9o ano),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-29,,,,,,,,,,,,,,,,,,3,D,Escola Pública,Ingressante,Ágata,6.342,9.6,5.3,7.5,3.8,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.9,5,Nível 5 (1o EM),-2,3,C,2021,Não,4.93555633157366,827,129,5,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,4.8322963800905,7.5,5.77777777777778,5.33333333333333,4,8,4,6.71875,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,Não,5.7083325,2.5,Fase 6 (2º EM)
Escola Pública,ALUNO-30,7,0,0C,Não,7.125001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667999999999,10,7.5,4.75,2.5,6.916665,10,,,,,,,,,,,,,,,,,,,,,0,K,2022,Não,8.08353568203955,122,34,5,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.00516341019773,7.5,9.1,9.6,8.6,,2,5.625,Promovido de Fase + Bolsa,Mantido na Fase atual,,,Sim,Não,8.250005,5,Fase 1 (4º ano)
,ALUNO-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,V,2022,Não,7.2631577969068,408,119,6,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.91668,7.31786731786732,7.5,7.46666666666667,7.6,7.33333333333333,,2,5.3125,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,6.666665,10,ALFA  (2º e 3º ano)
,ALUNO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,D,2022,Não,6.79270866666667,558,12,7,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.33333333333333,7.5,4,8,0,,4,7.34375,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Sim,Não,7.75,5,Fase 8 (Universitários)
Escola Pública,ALUNO-33,13,0,3E,Não,7.01388833333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.66667,4.5,7.5,8.66666666666666,7.08333333333333,6.27777333333333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-34,12,2,2C,Não,7.69889066666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.50002,9.3,6.875,7,8.125,7.94444333333333,5,2,C,Escola Pública,Veterano,Ágata,6.129,6.9,2.9,7.5,5.5,7.7,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.7,5,Nível 3 (7o e 8o ano),-1,3,C,2018,Não,6.66678774573196,599,78,4,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,7.05616761754869,7.5,6.11111111111111,5,7.5,5.83333333333333,4,7.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,Não,6.41666,5,Fase 4 (9º ano)
Escola Pública,ALUNO-35,18,3,7B,Não,6.64396,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,6.1,6.25,5,7.65625,8.29167,5,7,A,Escola Pública,Veterano,Topázio,8.416,9.2,9.4,7.5,8.2,8.4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sim,9.4,5,Nível 8 (Universitários),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-36,14,1,3C,Não,8.30778033333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,9.9,7.5,8,8.74999999999999,8.22222666666666,5,3,C,Escola Pública,Veterano,Ágata,6.246,8.3,6.4,3.8,4.7,7.3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.9,5,Nível 5 (1o EM),-2,4,B,2019,Não,6.85403958429119,538,46,8,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.83333,8.07471264367816,6.25,5.87777777777778,5,7.16666666666667,5.46666666666667,4,7.96875,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sim,Não,7.7916675,5,Fase 6 (2º EM)
Escola Pública,ALUNO-37,10,2,2N,Não,6.67889133333333,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,7.7,4.375,2.5,6.45833333333333,7.77778,10,2,N,Escola Pública,Veterano,Ágata,6.154,0,5.4,6.9,6.5,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.7,10,Nível 2 (5o e 6o ano),0,2,L,2018,Não,7.55554175568551,292,45,8,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.50002,9.04158544509422,7.5,7.33333333333333,6.5,8.16666666666667,,3,6.25,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,7.77778,5,Fase 3 (7º e 8º ano)
,ALUNO-38,,,,,,,,,,,,,,,,,,3,L,Escola Pública,Ingressante,Ágata,6.847,3.8,6.9,7.5,5.1,7.5,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.8,10,Nível 3 (7o e 8o ano),0,3,K,2021,Não,6.69538757142857,590,77,11,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,6.72172619047619,6.25,5.66666666666667,7,6.83333333333333,3.16666666666667,4,7.34375,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase + Bolsa,Sim,Não,7.20833,5,Fase 4 (9º ano)
Escola Pública,ALUNO-39,13,3,3F,Não,8.13138833333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.24999,9.4,7.5,8.33333333333333,8.54166666666666,6.77778,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-40,,,,,,,,,,,,,,,,,,5,B,Escola Pública,Ingressante,Ametista,7.334,9.2,7.8,7.5,6,8.3,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,8,5,Nível 6 (2o EM),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
